name|parent|paperCount
Sedimentary Processes in Earth's Geology|Earth-Surface Processes|58
Viral Hemorrhagic Fevers and Zoonotic Infections|Infectious Diseases|2
Infectious Diseases|Medicine
Global Impact of Arboviral Diseases|Public Health, Environmental and Occupational Health|1
Hyperspectral Image Analysis and Classification|Media Technology|3
Media Technology|Engineering
Economic Implications of Climate Change Policies|Economics and Econometrics|3
Microbial Bioremediation of Organic Pollutants|Pollution|2
Chemistry and Biology of Antitumor Antibiotics|Cancer Research|5
Cancer Research|Biochemistry, Genetics and Molecular Biology
Ecological Dynamics of African Great Lakes|Ecology|5
Ship Recycling and Offshore Decommissioning|Ocean Engineering|17
Applications of Remote Sensing in Geoscience and Agriculture|Atmospheric Science|2
Perceptions and Communication of Climate Change|Sociology and Political Science|4
The Impact of Digital Media on Public Discourse|Communication|1
Communication|Social Sciences (Field)
Mapping Groundwater Potential Zones Using GIS Techniques|Environmental Engineering|1
Automatic Keyword Extraction from Textual Data|Artificial Intelligence|1
Hydrological Modeling and Water Resource Management|Water Science and Technology|6
Economic and Environmental Dynamics of New Zealand|Economics and Econometrics|1
Global Drought Monitoring and Assessment|Global and Planetary Change|2
Optimal Operation of Water Resources Systems|Ocean Engineering|2
Land Tenure and Property Rights in Agriculture|Soil Science|1
Soil Science|Agricultural and Biological Sciences
Plant Responses to Flooding Stress|Plant Science|11
Multidisciplinary Research in Indonesia|Demography|16
Social and Cultural Development in Vietnam|Sociology and Political Science|1
Socio-Demographic and Political Dynamics in Cambodia|Sociology and Political Science|2
Models for Reducing Power Consumption in Computing Systems|Hardware and Architecture|1
Hardware and Architecture|Computer Science
Impact of Big Data on Society and Industry|Information Systems and Management|1
Impact of Food Processing on Nutrient Composition|Food Science|1
Soil Erosion and Agricultural Sustainability|Soil Science|7
Symbiotic Nitrogen Fixation in Legumes|Plant Science|2
Estimation of Forest Biomass and Carbon Stocks|Nature and Landscape Conservation|1
Cyanogenic Glycosides in Plants and Industrial Wastewaters|Plant Science|4
Characterization of Shale Gas Pore Structure|Mechanics of Materials|27
Interdependence in Science and Society|Sociology and Political Science|2
Ecological Rewilding and Conservation Ethics|Nature and Landscape Conservation|2
Application of Constructed Wetlands for Wastewater Treatment|Industrial and Manufacturing Engineering (Environmental Science)|2
DNA Barcoding for Lepidoptera Taxonomy and Evolution|Genetics|1
Plant-Parasitic Nematodes in Molecular Plant Pathology|Plant Science|2
Geodynamic Evolution of Western Mediterranean Region|Geophysics|3
Chromium Bioremediation and Health Impacts|Health, Toxicology and Mutagenesis|1
Sustainable Development in Mining and Minerals Industry|Building and Construction|16
Invertebrate Immunity and Host Defense Mechanisms|Immunology|3
Environmental Impacts of Fukushima Nuclear Disaster|Global and Planetary Change|17
Olefin Metathesis Chemistry|Organic Chemistry|1
Organic Chemistry|Chemistry
Landslide Hazards and Risk Assessment|Management, Monitoring, Policy and Law|3
Advanced Techniques in Reservoir Management|Ocean Engineering|4
Hydraulic Fracturing in Shale Gas Reservoirs|Mechanical Engineering|2
Seismic Waveform Inversion in Geophysics|Geophysics|2
Biological Soil Crusts and their Roles in Ecosystems|Ecology, Evolution, Behavior and Systematics|2
Solar Water Splitting Technology|Renewable Energy, Sustainability and the Environment|1
Genomic Analysis of Ancient DNA|Genetics|1
Patent Foramen Ovale and Cerebrovascular Events|Pulmonary and Respiratory Medicine|2
Chemistry of Actinide and Lanthanide Elements|Inorganic Chemistry|13
Inorganic Chemistry|Chemistry
Geological Modeling and Uncertainty Analysis|Geochemistry and Petrology|1
Mantle Dynamics and Earth's Structure|Geophysics|2
Evolutionary Innovations and Conservation of Cycads|Ecology, Evolution, Behavior and Systematics|1
Microalgae as a Source for Biofuels Production|Renewable Energy, Sustainability and the Environment|3
Principles and Governance of International Environmental Law|Management, Monitoring, Policy and Law|4
Sources and Effects of Ionizing Radiation on Human Health|Radiological and Ultrasound Technology|9
Radiological and Ultrasound Technology|Health Professions
Diversity and Function of Gut Microbiome|Molecular Biology|4
Geodynamics of the Northern Andes and Caribbean Region|Geophysics|1
Antimicrobial Peptides in Host Defense and Therapy|Microbiology|2
Molecular Chaperones in Protein Folding and Disease|Molecular Biology|1
Magnetosome Formation in Prokaryotes|Molecular Biology|2
Metabolic Engineering and Synthetic Biology|Molecular Biology|3
Reproductive Physiology and Endocrine Disruption in Fish|Physiology (Biochemistry, Genetics and Molecular Biology)|9
Physiology (Biochemistry, Genetics and Molecular Biology)|Biochemistry, Genetics and Molecular Biology
Impact of Tsunami on Structures and Infrastructure|Civil and Structural Engineering|1
Marine Safety and Industrial Risk Management|Ocean Engineering|1
Understanding Human Connection to Places|Sociology and Political Science|5
Agroecology and Global Food Systems|General Agricultural and Biological Sciences|1
General Agricultural and Biological Sciences|Agricultural and Biological Sciences
Psychological and Sociocultural Aspects of Extreme Sports|Social Psychology|2
Fashion Trends among Generation Z|Cultural Studies|1
Cultural Studies|Social Sciences (Field)
Volunteer Tourism and Global Development Impacts|Demography|1
Comparative Analysis of Networking Dynamics in the Middle East and Asia|Sociology and Political Science|1
Rural Development and Change in Agricultural Landscapes|General Agricultural and Biological Sciences|2
Advancements in Water Purification Technologies|Water Science and Technology|6
Solar-Powered Water Desalination Technologies|Renewable Energy, Sustainability and the Environment|1
Concepts and Determinants of Regional Economic Resilience|Economics and Econometrics|1
Adaptation to Climate Change in Agriculture|Ecology, Evolution, Behavior and Systematics|6
Cross-Border Regions in Europe and North America|Political Science and International Relations|1
Human Evolution and Behavioral Modernity|Anthropology|2
Anthropology|Social Sciences (Field)
Radiocarbon Dating and Agricultural Origins|Paleontology|3
Transformation of Rural Settlement Patterns in Russia|Demography|1
Waterborne Disease Outbreaks and Pathogen Transport|Water Science and Technology|5
Global Burden of Child Injury Prevention|Public Health, Environmental and Occupational Health|4
Neonatal Lung Development and Respiratory Morbidity|Pulmonary and Respiratory Medicine|1
Influence of Built Environment on Active Travel|Transportation|7
Analysis of Traffic Safety and Driver Behavior|Safety, Risk, Reliability and Quality|1
Safety, Risk, Reliability and Quality|Engineering
Forensic Toxicology Methods and Analysis|Toxicology|2
Toxicology|Pharmacology, Toxicology and Pharmaceutics
Nanotoxicology and Antimicrobial Nanoparticles|Materials Chemistry|7
Materials Chemistry|Materials Science
Understanding Attitudes Towards Public Transport and Private Car|Transportation|1
Gastrointestinal Viral Infections and Vaccines Development|Infectious Diseases|2
Hepatitis E Infection and Treatment|Hepatology|1
Hepatology|Medicine
Maternal and Child Nutrition in Developing Countries|Nutrition and Dietetics|13
Nutrition and Dietetics|Nursing
Nursing|Health Sciences
Principles and Applications of Green Chemistry|Environmental Chemistry|3
Role of Positive Emotions in Well-Being|Social Psychology|1
Effects of Residential Segregation on Communities and Individuals|Sociology and Political Science|2
Health Effects of Air Pollution|Health, Toxicology and Mutagenesis|12
Dynamics and Pathogenesis of Cholera Bacteria|Endocrinology|6
Endocrinology|Biochemistry, Genetics and Molecular Biology
Risk Perception and Communication in Society|Sociology and Political Science|3
Impact of Social Factors on Health Outcomes|Health|4
Indoor Air Quality and Health Effects|Health, Toxicology and Mutagenesis|4
Biodegradable Polymers as Biomaterials and Packaging|Biomaterials|10
Global Trends in Obesity and Overweight Research|Public Health, Environmental and Occupational Health|3
Supporting Health Care Transition from Adolescence to Adulthood|Speech and Hearing|1
Effects of Physical Activity on Health Outcomes|Physiology (Medicine)|1
Role of Omega-3 Fatty Acids in Health|Nutrition and Dietetics|3
Role of Mediterranean Diet in Health Outcomes|Public Health, Environmental and Occupational Health|2
Bacterial Biofilms and Quorum Sensing Mechanisms|Molecular Biology|1
Global Burden of Foodborne Pathogens|Food Science|2
Global Challenge of Antibiotic Resistance in Bacteria|Molecular Medicine|7
Molecular Medicine|Biochemistry, Genetics and Molecular Biology
Global Burden of Antimicrobial Resistance|Applied Microbiology and Biotechnology|1
Applied Microbiology and Biotechnology|Immunology and Microbiology
Environmental Justice and Inequality in Urban Development|Sociology and Political Science|3
Computational Methods in Drug Discovery|Computational Theory and Mathematics|2
Computational Theory and Mathematics|Computer Science
Estimating Vehicle Fuel Consumption and Emissions|Automotive Engineering|4
Automotive Engineering|Engineering
Occurrence and Health Effects of Drinking Water Disinfection By-Products|Health, Toxicology and Mutagenesis|18
Mechanisms of Skin Aging and Photodamage|Dermatology|3
Dermatology|Medicine
Role of Autophagy in Disease and Health|Epidemiology|3
Role of Sirtuins in Health and Aging|Geriatrics and Gerontology|1
Geriatrics and Gerontology|Medicine
Lysosomal Calcium Signaling in Physiology and Pathology|Physiology (Biochemistry, Genetics and Molecular Biology)|1
Pulmonary Drug Delivery Techniques|Pulmonary and Respiratory Medicine|2
Standardisation and Management of COPD|Pulmonary and Respiratory Medicine|1
Metal-Induced Oxidative Stress and Health Effects|Health, Toxicology and Mutagenesis|7
Amyotrophic Lateral Sclerosis and Frontotemporal Dementia|Neurology|1
Neurology|Medicine
Low-Cost Air Quality Monitoring Systems|Environmental Engineering|1
Psychological Resilience and Well-being|Clinical Psychology|2
Clinical Psychology|Psychology
Impact of Homelessness on Health and Well-being|General Health Professions|2
Malignant Pleural Mesothelioma Research|Pulmonary and Respiratory Medicine|1
Urban Agriculture and Community Development|Plant Science|1
Neural Mechanisms of Respiratory Control and Homeostasis|Endocrine and Autonomic Systems|3
Endocrine and Autonomic Systems|Neuroscience
Salutogenesis and Sense of Coherence in Health|General Health Professions|1
Disaster Response and Public Health Preparedness|Emergency Medical Services|2
Emergency Medical Services|Health Professions
Posttraumatic Stress Disorder and Human Resilience|Clinical Psychology|1
Migration Networks and Impacts on Labor Market|Sociology and Political Science|2
Chemistry and Applications of Fullerenes|Organic Chemistry|1
Biomedical Applications of Graphene Nanomaterials|Biomedical Engineering|1
Diamond Nanotechnology and Applications|Materials Chemistry|1
Health Risks and Diseases in Travelers|Public Health, Environmental and Occupational Health|2
Fate and Effects of Surfactants in the Environment|Environmental Chemistry|3
Animal Research Studies|Small Animals|1
Challenges in Medical Waste Management during COVID-19 Pandemic|Public Health, Environmental and Occupational Health|2
Marine Resource Management in Indonesia|Management, Monitoring, Policy and Law|1
Assessment and Enhancement of Infrastructure Resilience|Civil and Structural Engineering|1
Phosphorus Recovery and Sustainable Management|Industrial and Manufacturing Engineering (Environmental Science)|2
Soil Carbon Dynamics and Nutrient Cycling in Ecosystems|Soil Science|3
Global Impact of Gas Flaring|Renewable Energy, Sustainability and the Environment|1
Hydrological Modeling using Machine Learning Methods|Environmental Engineering|1
Sustainable Diets and Environmental Impact|Ecology|4
Perfluoroalkyl and Polyfluoroalkyl Substances in the Environment|Environmental Chemistry|22
Effects of Beta-Adrenergic Agonists in Livestock|Animal Science and Zoology|2
DNA Nanotechnology and Bioanalytical Applications|Molecular Biology|7
Wastewater Reuse and Management Practices|Industrial and Manufacturing Engineering (Environmental Science)|3
Analysis of Pesticide Residues in Food|Food Science|2
Advanced Oxidation Processes for Water Treatment|Water Science and Technology|4
Evolutionary Dynamics of Genetic Adaptation and Mutation|Genetics|1
Pharmacokinetics of Antibiotics in Critically Ill Patients|Pharmacology (Medicine)|4
Safety and Management of Nuclear Fuel Transportation|Safety, Risk, Reliability and Quality|4
Scintillation Detector Technology|Radiation|1
Radiation|Physics and Astronomy
Physics and Astronomy|Physical Sciences
Perchlorate Contamination and Health Effects|Health, Toxicology and Mutagenesis|2
Application of Partially Ordered Sets in Chemistry Research|Physical and Theoretical Chemistry|1
Physical and Theoretical Chemistry|Chemistry
Chemistry and Applications of Antimicrobial Polymers|Organic Chemistry|1
Genotoxicity and Carcinogenesis Mechanisms|Cancer Research|1
Pesticide Pollution and Management|Pollution|2
Novel Methods for Cesium Removal from Wastewater|Industrial and Manufacturing Engineering (Environmental Science)|1
Epidemiology and Pathogenesis of Pneumocystis Pneumonia|Epidemiology|1
Epidemiology and Molecular Characterization of Parasitic Diseases|Parasitology|1
Nucleotide Metabolism and Enzyme Regulation|Molecular Biology|2
Fluoride Contamination in Drinking Water and Defluoridation Methods|Water Science and Technology|1
Economics of Pharmaceutical Research and Development|Economics and Econometrics|2
Immunogenicity of Biosimilar Therapeutics in Drug Development|Immunology|2
Paper-Based Diagnostic Devices|Biomedical Engineering|1
Energy Consumption in Mobile Devices and Networks|Electrical and Electronic Engineering|1
Impact of Information Technology Infrastructure on Various Sectors|Information Systems|1
Urban Metabolism and Sustainability Assessment|Environmental Engineering|2
Ecological Dynamics of Riverine Landscapes|Ecology|6
Consequences of Mortgage Credit Expansion and Housing Market Dynamics|Economics and Econometrics|1
Politics and Poetics of Water Infrastructure|Political Science and International Relations|2
Social and Environmental Impacts of Dam-induced Displacement|Sociology and Political Science|2
Anthropology of Globalization and Neoliberal Governmentality|Anthropology|1
Maritime Security and Piracy in Asia-Pacific Region|Transportation|2
Fiber Optic Sensor Technology|Electrical and Electronic Engineering|1
Rotational Seismology and Engineering Applications|Ocean Engineering|1
Sustainable Agricultural Development and Resource Management|General Agricultural and Biological Sciences|2
Hydrodynamic Analysis of Ship Behavior and Performance|Ocean Engineering|2
Legal Recognition of Nature's Rights and Environmental Governance|Law|2
Law|Social Sciences (Field)
Impact of International Trade on Productivity and Growth|General Economics, Econometrics and Finance|2
General Economics, Econometrics and Finance|Economics, Econometrics and Finance
Technology Readiness Assessment and Evaluation|Safety, Risk, Reliability and Quality|1
Gender Imbalance in East and South Asia|Gender Studies|1
Gender Studies|Social Sciences (Field)
Human Rights and Development in Global Governance|Sociology and Political Science|1
Global Impact of Helminth Infections and Control Strategies|Parasitology|1
Plant Biostimulants in Agriculture and Horticulture|Plant Science|1
Nutritional Strategies for Ruminant Health and Production|Agronomy and Crop Science|2
Agronomy and Crop Science|Agricultural and Biological Sciences
Battery Recycling and Rare Earth Recovery|Mechanical Engineering|6
Biohydrometallurgical Processes for Metal Extraction|Biomedical Engineering|3
Building Resilient Supply Chain|Strategy and Management|1
Machine Learning for Mineral Prospectivity Mapping|Artificial Intelligence|3
Operations Research in Mine Planning|Control and Systems Engineering|1
Environmental Impacts of Solar Energy Technologies|Environmental Engineering|4
Measurement and Evaluation of Sustainable Development|Management, Monitoring, Policy and Law|2
Corporate Social Responsibility and Financial Performance|Strategy and Management|1
Institutional Theory and Organizational Change|Organizational Behavior and Human Resource Management|1
Cultural Capital and Social Class in Education|Sociology and Political Science|1
Infrared Detector Technologies|Electrical and Electronic Engineering|1
Thin-Film Solar Cell Technology|Electrical and Electronic Engineering|1
Application of Diagnostic Techniques in Oil Wells|Ocean Engineering|1
Environmental History of the United States|Management, Monitoring, Policy and Law|1
Applications of Ground-Penetrating Radar in Geoscience and Engineering|Ocean Engineering|2
Cultural and Social Dynamics in the Caribbean Region|Cultural Studies|1
History and Culture of Central America and Caribbean|History|1
History|Arts and Humanities
Organized Crime and Criminal Networks Analysis|Sociology and Political Science|1
Foreign Aid and Development Policies|Development|1
Development|Social Sciences (Field)
African Diaspora and Transnational Trade in China|Anthropology|1
Modeling and Assessment of Pipeline Corrosion Damage|Mechanical Engineering|1
Acoustic Metamaterials and Phononic Crystals|Biomedical Engineering|1
Stochastic Thermodynamics and Fluctuation Theorems|Statistical and Nonlinear Physics|1
Statistical and Nonlinear Physics|Physics and Astronomy
Geothermal Energy Technology and Applications|Renewable Energy, Sustainability and the Environment|3
Effects of Heat Stress on Livestock Production|Animal Science and Zoology|1
Impact of Road Salt on Freshwater Salinization|Pollution|1
Leisure Activities and Subjective Well-Being Relationship|Social Psychology|1
Neoliberal Urbanization and Gentrification Studies|Urban Studies|1
Urban Studies|Social Sciences (Field)
Cavitation in Hydropower Systems and Turbines|Mechanics of Materials|1
Aviation's Impact on Global Climate Change|Global and Planetary Change|1
Control and Synchronization in Microgrid Systems|Control and Systems Engineering|2
Load Frequency Control in Power Systems|Electrical and Electronic Engineering|1
Lithium-ion Battery Management in Electric Vehicles|Automotive Engineering|1
Development and Impacts of Bioenergy Crops|Agronomy and Crop Science|1
Technologies for Biofuel Production from Biomass|Biomedical Engineering|1
Biomass and Bioenergy in the Bioeconomy|General Agricultural and Biological Sciences|1
Multijunction Solar Cell Technology|Electrical and Electronic Engineering|3
Solar Thermal Energy Technologies|Renewable Energy, Sustainability and the Environment|2
Photovoltaic Maximum Power Point Tracking Techniques|Renewable Energy, Sustainability and the Environment|2
Carbon Dioxide Sequestration in Geological Formations|Environmental Engineering|2
Science and Technology of Capacitive Deionization for Water Desalination|Biomedical Engineering|2
Nanofluidics and Nanopore Technology|Biomedical Engineering|2
Technical Aspects of Biodiesel Production|Biomedical Engineering|2
Machine Learning Methods for Solar Radiation Forecasting|Artificial Intelligence|1
Aqueous Zinc-Ion Battery Technology|Electrical and Electronic Engineering|1
Characterization and Behavior of Nuclear Graphite Materials|Materials Chemistry|1
Icing Mitigation Techniques for Wind Turbines and Aircraft|Aerospace Engineering|1
Legal Aspects of International Trade and Shipping|Accounting|2
Accounting|Business, Management and Accounting
Role of Quinones in Toxicology and Pharmacology|Toxicology|1
Analysis of Intellectual Property Rights and Innovation|Management of Technology and Innovation|3
Management of Technology and Innovation|Business, Management and Accounting
Advancements in Biomedical Science and Health Research|Reproductive Medicine|1
Reproductive Medicine|Medicine
Advances in Metabolomics Research|Molecular Biology|4
Mass Spectrometry Techniques|Spectroscopy|1
Spectroscopy|Chemistry
Mass Spectrometry Techniques with Proteins|Spectroscopy|2
Microbial Enzymes and Biotechnological Applications|Biotechnology|1
Enzyme Immobilization Techniques|Molecular Biology|1
Impact of Genetically Modified Crops in Agriculture|Plant Science|2
Bioactive Peptides in Food and Health|Molecular Biology|3
Catalytic Oxidation of Alcohols|Organic Chemistry|1
Analysis of Gene Interaction Networks|Molecular Biology|2
Advanced Techniques in Bioimage Analysis and Microscopy|Biophysics|1
Biophysics|Biochemistry, Genetics and Molecular Biology
Challenges and Innovations in Bioinformatics Education|Molecular Biology|1
Microarray Data Analysis and Gene Expression Profiling|Molecular Biology|3
Peptide Synthesis and Drug Discovery|Molecular Biology|1
Global Health Biotechnology and Innovation|Public Health, Environmental and Occupational Health|6
Transgenic Animal Research|Genetics|3
Probiotics and Prebiotics|Food Science|2
Prediction of Protein Subcellular Localization|Molecular Biology|1
Ribosome Structure and Translation Mechanisms|Molecular Biology|1
Therapeutic Antibodies: Development, Engineering, and Applications|Radiology, Nuclear Medicine and Imaging|1
Radiology, Nuclear Medicine and Imaging|Medicine
Role of Fructans in Nutrition and Health|Nutrition and Dietetics|1
Significance of Phytic Acid in Nutrition and Agriculture|Plant Science|1
Lipid Metabolism and Storage in Organisms|Biochemistry|2
Biochemistry|Biochemistry, Genetics and Molecular Biology
Therapeutic Advances in Cystic Fibrosis Research|Pulmonary and Respiratory Medicine|1
Clustered Regularly Interspaced Short Palindromic Repeats and CRISPR-associated proteins|Molecular Biology|2
Health Economics and Quality of Life Assessment|Economics and Econometrics|1
Genomic Landscape of Cancer and Mutational Signatures|Cancer Research|1
Regulation of Stem Cell Therapies and Clinics|Physiology (Medicine)|1
Formation and Evolution of the Solar System|Astronomy and Astrophysics|1
Astronomy and Astrophysics|Physics and Astronomy
Tensor Decompositions and Applications in Multilinear Algebra|Computational Mathematics|1
Computational Mathematics|Mathematics
Mathematics|Physical Sciences
Global Trends in Industry Self-Regulation and Compliance|Strategy and Management|1
Enhancing Workplace Safety Culture and Practices|Radiological and Ultrasound Technology|2
Territorial Governance and Environmental Participation|Sociology and Political Science|1
Ecological Assessment and Urban Development|Ecology|1
Rangeland Degradation and Pastoral Livelihoods|Management, Monitoring, Policy and Law|1
Temporal, Spatial, and Social Aspects of Cultural Heritage Studies|Archeology|1
Climate Change Impacts on Forest Carbon Sequestration|Global and Planetary Change|1
Politics and Society in Southeast Asia|Political Science and International Relations|1
Archaeological Remote Sensing using Remote Sensing Techniques|Space and Planetary Science|1
Space and Planetary Science|Earth and Planetary Sciences
Economic Impact of Special Economic Zones|General Economics, Econometrics and Finance|1
Risk Management and Vulnerability in Agriculture|Soil Science|1
